"","code","source","value","note","unit","sector","owner","nuts_level","code_label","measure_type_eustat_flag","potential_definition"
"1","AT111","forest.residues",0.491683136481486,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"2","AT112","forest.residues",0.422539962376224,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"3","AT113","forest.residues",0.957788071153109,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"4","AT121","forest.residues",2.23013582415568,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"5","AT122","forest.residues",3.50260289238534,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"6","AT123","forest.residues",0.650253073299248,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"7","AT124","forest.residues",2.91484116928045,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"8","AT125","forest.residues",0.565852464528395,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"9","AT126","forest.residues",0.965916420999392,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"10","AT127","forest.residues",0.63997704936514,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"11","AT130","forest.residues",0.110247269841695,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"12","AT211","forest.residues",1.94102011448559,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"13","AT212","forest.residues",4.38359670049531,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"14","AT213","forest.residues",3.40725511152793,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
"15","AT221","forest.residues",0.995715398967967,"Biomass potential from forest residues. We don't account for energy conversion","PetaJoule","forest residues","EURAC",3,"","e","planning"
