"","code","source","value","note","unit","sector","owner","nuts_level","code_label","measure_type_eustat_flag","potential_definition"
"1","AT111","household_waste","0.0355200131152591","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"2","AT112","household_waste","0.142068711158921","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"3","AT113","household_waste","0.0924146002830072","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"4","AT121","household_waste","0.227935599687611","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"5","AT122","household_waste","0.239148367045178","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"6","AT123","household_waste","0.140326876175779","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"7","AT124","household_waste","0.207490067300032","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"8","AT125","household_waste","0.11665474333652","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"9","AT126","household_waste","0.291036714437721","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"10","AT127","household_waste","0.303467726664127","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"11","AT130","household_waste","1.62013052503875","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"12","AT211","household_waste","0.261610760992185","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"13","AT212","household_waste","0.120072255707134","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"14","AT213","household_waste","0.143960818395085","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"15","AT221","household_waste","0.382566693155769","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"16","AT222","household_waste","0.0750104270792317","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"17","AT223","household_waste","0.155629128054266","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"18","AT224","household_waste","0.252154950353913","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"19","AT225","household_waste","0.179650005933558","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"20","AT226","household_waste","0.0972233123797116","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"21","AT311","household_waste","0.260245079195853","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
"22","AT312","household_waste","0.521749988034966","Potential from nunicipal solid waste. We don't account for energy conversion","PetaJoule","urban waste","EURAC",3,"","e","planning"
